1, 9, 0.015625, 0.015625, 0, 3, 2, 5, 1, 6, 4, 8, 7, 0, 3, 2, 5, 1, 6, 4, 8, 7
2, 9, 0.015625, 0.015151515151515152, 0, 3, 2, 5, 1, 6, 4, 8, 7, 0, 6, 3, 2, 8, 4, 5, 1, 7
3, 9, 0.015625, 0.016129032258064516, 0, 3, 2, 5, 1, 6, 4, 8, 7, 5, 6, 4, 1, 8, 2, 3, 7, 0
4, 9, 0.016129032258064516, 0.016129032258064516, 5, 6, 4, 1, 8, 2, 3, 7, 0, 4, 1, 3, 7, 0, 8, 2, 5, 6
5, 9, 0.016129032258064516, 0.01694915254237288, 4, 1, 3, 7, 0, 8, 2, 5, 6, 1, 6, 2, 5, 4, 8, 7, 3, 0
6, 9, 0.01694915254237288, 0.01818181818181818, 1, 6, 2, 5, 4, 8, 7, 3, 0, 2, 7, 8, 1, 5, 6, 0, 3, 4
7, 9, 0.01818181818181818, 0.017241379310344827, 2, 7, 8, 1, 5, 6, 0, 3, 4, 5, 2, 0, 8, 4, 3, 1, 6, 7
8, 9, 0.01818181818181818, 0.017543859649122806, 2, 7, 8, 1, 5, 6, 0, 3, 4, 6, 4, 8, 2, 1, 5, 0, 3, 7
9, 9, 0.01818181818181818, 0.017241379310344827, 2, 7, 8, 1, 5, 6, 0, 3, 4, 2, 3, 1, 8, 0, 5, 4, 6, 7
10, 9, 0.01818181818181818, 0.014084507042253521, 2, 7, 8, 1, 5, 6, 0, 3, 4, 5, 2, 3, 1, 6, 0, 7, 8, 4
11, 9, 0.01818181818181818, 0.01694915254237288, 2, 7, 8, 1, 5, 6, 0, 3, 4, 5, 4, 8, 2, 0, 7, 1, 6, 3
12, 9, 0.01818181818181818, 0.016666666666666666, 2, 7, 8, 1, 5, 6, 0, 3, 4, 2, 5, 4, 3, 1, 8, 0, 6, 7
13, 9, 0.01818181818181818, 0.016129032258064516, 2, 7, 8, 1, 5, 6, 0, 3, 4, 0, 7, 4, 6, 3, 1, 8, 2, 5
