4, 15, 0.0009287567750294651, 0.0007982907215710478, 11, 14, 7, 8, 0, 4, 9, 10, 12, 1, 13, 6, 2, 5, 3, 13, 4, 3, 6, 11, 14, 7, 8, 0, 9, 10, 12, 2, 1, 5
8, 15, 0.001010494995975284, 0.0009763921729221745, 3, 2, 6, 13, 5, 4, 8, 7, 0, 12, 1, 14, 9, 10, 11, 3, 14, 12, 10, 4, 13, 0, 11, 6, 5, 7, 8, 1, 9, 2
12, 15, 0.0010649636395166982, 0.0009821910669770145, 2, 9, 14, 1, 13, 0, 7, 11, 10, 12, 6, 4, 3, 5, 8, 9, 13, 14, 0, 2, 5, 7, 8, 4, 11, 1, 3, 10, 12, 6
16, 15, 0.0010649636395166982, 0.0009806866075347588, 2, 9, 14, 1, 13, 0, 7, 11, 10, 12, 6, 4, 3, 5, 8, 6, 5, 14, 3, 0, 12, 7, 1, 9, 2, 13, 4, 11, 10, 8
20, 15, 0.0010649636395166982, 0.0009039766546281371, 2, 9, 14, 1, 13, 0, 7, 11, 10, 12, 6, 4, 3, 5, 8, 5, 11, 2, 6, 0, 9, 14, 1, 4, 3, 10, 12, 13, 8, 7
24, 15, 0.0010799235227306032, 0.0011461185004405015, 14, 12, 2, 3, 10, 7, 13, 9, 5, 0, 11, 4, 6, 8, 1, 9, 4, 11, 6, 0, 3, 10, 14, 1, 7, 5, 8, 2, 13, 12
28, 15, 0.0011461185004405015, 0.001006099284225445, 9, 4, 11, 6, 0, 3, 10, 14, 1, 7, 5, 8, 2, 13, 12, 5, 3, 1, 8, 4, 13, 10, 7, 11, 14, 0, 6, 12, 9, 2
32, 15, 0.0011461185004405015, 0.0009630817345903318, 9, 4, 11, 6, 0, 3, 10, 14, 1, 7, 5, 8, 2, 13, 12, 5, 3, 1, 8, 4, 13, 7, 11, 10, 12, 9, 14, 0, 6, 2
36, 15, 0.0011858109057934054, 0.0010734692110233425, 7, 4, 3, 11, 12, 5, 0, 10, 6, 9, 1, 8, 2, 13, 14, 5, 2, 4, 3, 6, 7, 11, 1, 14, 9, 13, 0, 8, 12, 10
40, 15, 0.0011858109057934054, 0.0011562417363496322, 7, 4, 3, 11, 12, 5, 0, 10, 6, 9, 1, 8, 2, 13, 14, 2, 10, 11, 1, 3, 14, 0, 13, 9, 7, 6, 12, 4, 5, 8
44, 15, 0.0011858109057934054, 0.001051736008980641, 7, 4, 3, 11, 12, 5, 0, 10, 6, 9, 1, 8, 2, 13, 14, 7, 10, 8, 4, 3, 6, 5, 12, 2, 0, 11, 14, 13, 1, 9
48, 15, 0.0011858109057934054, 0.001352967445027986, 7, 4, 3, 11, 12, 5, 0, 10, 6, 9, 1, 8, 2, 13, 14, 7, 0, 2, 1, 10, 14, 12, 4, 3, 9, 5, 13, 6, 11, 8
52, 15, 0.0013936969658866602, 0.0015159715696449858, 2, 3, 4, 6, 1, 0, 10, 5, 14, 9, 13, 8, 7, 12, 11, 3, 0, 1, 4, 10, 14, 2, 9, 7, 5, 13, 12, 6, 11, 8
56, 15, 0.0018127410169561918, 0.0022334235169205463, 13, 2, 7, 10, 14, 0, 5, 3, 1, 4, 6, 9, 12, 11, 8, 0, 1, 7, 10, 2, 4, 5, 3, 6, 9, 12, 11, 8, 14, 13
60, 15, 0.00276745427245138, 0.0032272545035221525, 0, 1, 7, 10, 11, 8, 2, 4, 14, 5, 6, 9, 12, 3, 13, 0, 1, 7, 10, 2, 4, 3, 13, 14, 5, 6, 9, 12, 11, 8
64, 15, 0.0038276023872687304, 0.004776034394312729, 0, 3, 1, 7, 13, 10, 2, 4, 14, 5, 6, 9, 12, 11, 8, 0, 13, 3, 7, 1, 10, 2, 4, 14, 5, 6, 9, 12, 11, 8
68, 15, 0.004776034394312729, 0.005043928258481582, 0, 13, 3, 7, 1, 10, 2, 4, 14, 5, 6, 9, 12, 11, 8, 13, 0, 3, 1, 7, 10, 2, 4, 14, 6, 5, 9, 12, 11, 8
72, 15, 0.0052948322419469245, 0.004770697190759994, 13, 0, 3, 1, 7, 10, 2, 4, 14, 5, 6, 9, 12, 11, 8, 13, 0, 3, 1, 7, 10, 2, 4, 14, 5, 6, 9, 12, 8, 11
76, 15, 0.0052948322419469245, 0.0056608374702701945, 13, 0, 3, 1, 7, 10, 2, 4, 14, 5, 6, 9, 12, 11, 8, 13, 0, 3, 1, 7, 10, 2, 4, 14, 5, 6, 9, 8, 12, 11
80, 15, 0.005905900179437721, 0.006051139722652692, 3, 13, 0, 1, 10, 7, 2, 4, 14, 5, 6, 9, 8, 12, 11, 3, 13, 0, 1, 7, 10, 2, 4, 14, 5, 6, 9, 12, 8, 11
84, 15, 0.006051139722652692, 0.004867009685541441, 3, 13, 0, 1, 7, 10, 2, 4, 14, 5, 6, 9, 12, 8, 11, 13, 0, 3, 1, 7, 2, 10, 4, 5, 14, 6, 8, 12, 9, 11
88, 15, 0.0067657755644733135, 0.006762036846702583, 13, 0, 3, 1, 7, 2, 10, 4, 14, 5, 6, 8, 9, 12, 11, 3, 13, 1, 0, 7, 2, 10, 14, 4, 5, 6, 9, 8, 11, 12
92, 15, 0.008766027255152698, 0.008359519881277368, 3, 13, 0, 1, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 13, 3, 0, 1, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12
96, 15, 0.008766027255152698, 0.00744674657514593, 3, 13, 0, 1, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 10, 14, 4, 5, 6, 8, 9, 11, 12
100, 15, 0.008766027255152698, 0.007550224335757185, 3, 13, 0, 1, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 1, 13, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12
104, 15, 0.008766027255152698, 0.008766027255152698, 3, 13, 0, 1, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 0, 1, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12
108, 15, 0.00884940542707162, 0.008414052732177173, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 8, 11, 9, 12, 3, 1, 13, 0, 7, 2, 10, 4, 14, 5, 6, 8, 9, 11, 12
112, 15, 0.009952312758716112, 0.008414052732177173, 3, 13, 0, 1, 7, 2, 10, 4, 14, 5, 6, 8, 9, 11, 12, 3, 1, 13, 0, 7, 2, 10, 4, 14, 5, 6, 8, 9, 11, 12
116, 15, 0.010448512291473047, 0.010448512291473047, 3, 13, 1, 0, 7, 10, 2, 4, 14, 5, 6, 8, 9, 11, 12, 3, 13, 1, 0, 7, 10, 2, 4, 14, 5, 6, 8, 9, 11, 12
120, 15, 0.01067932409492667, 0.009509589427928912, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 10, 4, 5, 14, 6, 8, 9, 11, 12
124, 15, 0.01067932409492667, 0.009235722586569933, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 13, 3, 1, 0, 7, 2, 4, 10, 14, 5, 6, 8, 9, 11, 12
128, 15, 0.01067932409492667, 0.009116691613145126, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 13, 3, 1, 0, 7, 2, 10, 4, 5, 14, 6, 8, 9, 11, 12
132, 15, 0.01067932409492667, 0.007203638672049941, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 13, 3, 1, 0, 7, 2, 10, 14, 4, 5, 6, 8, 9, 11, 12
136, 15, 0.01067932409492667, 0.00744674657514593, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 10, 14, 4, 5, 6, 8, 9, 11, 12
140, 15, 0.01067932409492667, 0.008310349279419838, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 8, 6, 9, 11, 12
144, 15, 0.01067932409492667, 0.008038835605659876, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 13, 1, 3, 0, 7, 2, 10, 4, 14, 5, 6, 8, 9, 11, 12
148, 15, 0.01067932409492667, 0.008310349279419838, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 8, 6, 9, 11, 12
152, 15, 0.01067932409492667, 0.00963917403910566, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 4, 10, 14, 5, 6, 8, 9, 11, 12
156, 15, 0.01067932409492667, 0.00963917403910566, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 4, 10, 14, 5, 6, 8, 9, 11, 12
160, 15, 0.01067932409492667, 0.00855839639466867, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 13, 3, 1, 0, 7, 2, 10, 4, 6, 14, 5, 8, 9, 11, 12
164, 15, 0.01067932409492667, 0.00747448886454373, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 7, 0, 2, 10, 4, 14, 5, 8, 6, 9, 11, 12
168, 15, 0.01067932409492667, 0.009509589427928912, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 10, 4, 5, 14, 6, 8, 9, 11, 12
172, 15, 0.01067932409492667, 0.00884940542707162, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 9, 8, 11, 12, 3, 13, 1, 0, 7, 2, 10, 4, 14, 5, 6, 8, 11, 9, 12
